codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
12109,12105,Para análise da admissão do recurso repetitivo ,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em Pauta de Sessão Virtual > Para análise da admissão do recurso repetitivo 
12110,12104,Para análise da admissão do recurso repetitivo ,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em pauta > Para análise da admissão do recurso repetitivo 
12111,12104,Para análise da admissão do IRDR,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em pauta > Para análise da admissão do IRDR
12112,12105,Para análise da admissão do IRDR,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em Pauta de Sessão Virtual > Para análise da admissão do IRDR
12113,12105,Para análise da admissão do IAC,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em Pauta de Sessão Virtual > Para análise da admissão do IAC
12114,12104,Para análise da admissão do IAC,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em pauta > Para análise da admissão do IAC
12115,12104,Para Julgamento,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em pauta > Para Julgamento
12116,12105,Para Julgamento,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em Pauta de Sessão Virtual > Para Julgamento
12140,7,Prisão em Flagrante em Prisão Preventiva,A,4,False,Magistrado > Decisão > Conversão > Prisão em Flagrante em Prisão Preventiva
12141,3,Relaxamento do Flagrante,A,3,False,Magistrado > Decisão > Relaxamento do Flagrante
12142,48,Mudança de Parte,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Mudança de Parte
12143,48,Mudança de Assunto Processual,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Mudança de Assunto Processual
12144,3,Unificação e Soma de Penas,A,3,False,Magistrado > Decisão > Unificação e Soma de Penas
12145,157,Detração/Remição,A,4,False,Magistrado > Decisão > Revogação > Detração/Remição
12146,968,Liberdade Provisória,A,4,False,Magistrado > Decisão > Não-Concessão > Liberdade Provisória
12147,122,Domiciliar,A,4,False,Magistrado > Decisão > Desacolhimento de Prisão > Domiciliar
12148,817,Prisão Domiciliar,A,4,False,Magistrado > Decisão > Concessão > Prisão Domiciliar
12149,817,Detração/Remição da Pena,A,4,False,Magistrado > Decisão > Concessão > Detração/Remição da Pena
12150,11,Impedimento,A,4,False,Magistrado > Decisão > Declaração > Impedimento
12151,11,Suspeição,A,4,False,Magistrado > Decisão > Declaração > Suspeição
12163,3,Outras Decisões,I,3,False,Magistrado > Decisão > Outras Decisões
12164,3,Outras Decisões,A,3,False,Magistrado > Decisão > Outras Decisões
12165,48,Requisição de Pagamento,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento
12166,12165,Precatório,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório
12167,12166,Enviada ao Tribunal,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Requisição de Pagamento > Precatório > Enviada ao Tribunal
